shade_id,product_id,hex,shade_name,shade_specific,skintone,undertone,shade_specific_raw,name
105200,260,#c0906d,260 BISQUE N,260,NA,Neutral,260,Bisque N
105201,260,#c9a580,255 CLAIR 20N,255,NA,Neutral,255,Clair 20n
105202,260,#ba9573,250 BISQUE W,250,NA,Warm,250,Bisque W
105203,260,#cc9d75,240 CLAIR 10 (C),240,NA,Cool,240,Clair
105204,260,#d4b694,220 BUFF,220,NA,Warm,220,Buff
105205,260,#c9a081,160 IVOIRE W,160,NA,Cool,160,Ivoire W
105206,260,#c7a382,140 PORCELAINE 20 (C),140,NA,Warm,140,Porcelaine 20 (C)
105207,260,#bfa07d,110 IVOIRE C,110,NA,Warm,110,Ivoire C
105208,260,#c08957,410 BISQUE W,410,NA,Neutral,410,Bisque W
105209,260,#b38863,360 DORE 20W,360,NA,Warm,360,Dore 20w
105210,260,#d09a74,310 CLAIR 30,310,NA,NA,310,Clair
105211,260,#c3a17b,210 BUFF N,210,NA,NA,210,Buff N
105212,260,#dfcfb5,095 IVOIRE W,095,NA,NA,095,Ivoire W
105213,261,#89553d,510 SUEDE COOL,510,NA,Cool,510,Suede Cool
105214,261,#986747,500 SUEDE WARM,500,NA,Warm,500,Suede Warm
105215,261,#b79266,460 SUEDE WARM,460,NA,Warm,460,Suede Warm
105216,261,#cdac81,450 SUEDE NEUTRAL,450,NA,Neutral,450,Suede Neutral
105217,261,#c59b6b,420 BISQUE NEUTRAL,420,NA,Neutral,420,Bisque Neutral
105218,261,#d0b695,360 BISQUE NEUTRAL,360,NA,Neutral,360,Bisque Neutral
105219,261,#c1a07f,350 BISQUE COOL,350,NA,Cool,350,Bisque Cool
105220,261,#d7b790,340 BISQUE NEUTRAL,340,NA,Neutral,340,Bisque Neutral
105221,261,#be926d,330 BISQUE NEUTRAL,330,NA,Neutral,330,Bisque Neutral
105222,261,#ddbc8f,320 BISQUE WARM,320,NA,Warm,320,Bisque Warm
105223,261,#dfc19f,260 BISQUE NEUTRAL,260,NA,Neutral,260,Bisque Neutral
105224,261,#d0b28e,250 BISQUE WARM,250,NA,Warm,250,Bisque Warm
105225,261,#d4b78b,230 BUFF WARM,230,NA,Warm,230,Buff Warm
105226,261,#cca890,220 BUFF NEUTRAL,220,NA,Neutral,220,Buff Neutral
105227,261,#ceac89,210 BUFF NEUTRAL,210,NA,Neutral,210,Buff Neutral
105228,261,#caae86,110 IVOIRE COOL,110,NA,Cool,110,Ivoire Cool
